IP,CVSS Base Vector,Posture,Access Vector,Access Vector Score,Access Complexity,Access Complexity Score,Authentication,Authentication Score,Confidentiality Impact,Confidentiality Impact Score,Integrity Impact,Integrity Impact Score,Availability Impact,Availability Impact Score,Exploitability %,Affected Metrics,Statement
,CVSS2#AV:N/AC:H/Au:S/C:P/I:P/A:N,Outsider,N,1,H,0.35,S,0.56,P,0.275,P,0.275,N,0,30.57109071070717,"Confidentiality,Integrity","This vulnerability can be exploited 30.6% of the time and it causes a loss of Confidentiality,Integrity."
,CVSS2#AV:A/AC:L/Au:M/C:P/I:N/A:N,Privileged Insider,A,0.646,L,0.71,M,0.45,P,0.275,N,0,N,0,32.94685548782926,Confidentiality,This vulnerability can be exploited 32.9% of the time and it causes a loss of Confidentiality.
192.168.1.11,,,,,,,,,,,,,,,,,
,CVSS2#AV:A/AC:M/Au:N/C:N/I:P/A:N,Nearsider,A,0.646,M,0.61,N,0.704,N,0,P,0.275,N,0,49.175552267624866,Integrity,This vulnerability can be exploited 49.2% of the time and it causes a loss of Integrity.
,CVSS2#AV:N/AC:H/Au:S/C:N/I:C/A:N,Outsider,N,1,H,0.35,S,0.56,N,0,C,0.66,N,0,30.57109071070717,Integrity,This vulnerability can be exploited 30.6% of the time and it causes a loss of Integrity.
192.168.1.12,,,,,,,,,,,,,,,,,
,CVSS2#AV:A/AC:L/Au:M/C:N/I:P/A:C,Privileged Insider,A,0.646,L,0.71,M,0.45,N,0,P,0.275,C,0.66,32.94685548782926,"Integrity,Availability","This vulnerability can be exploited 32.9% of the time and it causes a loss of Integrity,Availability."
,CVSS2#AV:N/AC:H/Au:N/C:C/I:N/A:P,Outsider,N,1,H,0.35,N,0.704,C,0.66,N,0,P,0.275,42.08773443167991,"Confidentiality,Availability","This vulnerability can be exploited 42.1% of the time and it causes a loss of Confidentiality,Availability."
192.168.1.13,,,,,,,,,,,,,,,,,
,CVSS2#AV:L/AC:L/Au:S/C:N/I:P/A:N,Privileged Insider,L,0.395,L,0.71,S,0.56,N,0,P,0.275,N,0,21.671284368555455,Integrity,This vulnerability can be exploited 21.7% of the time and it causes a loss of Integrity.
,CVSS2#AV:A/AC:L/Au:M/C:N/I:P/A:P,Privileged Insider,A,0.646,L,0.71,M,0.45,N,0,P,0.275,P,0.275,32.94685548782926,"Integrity,Availability","This vulnerability can be exploited 32.9% of the time and it causes a loss of Integrity,Availability."
192.168.1.14,,,,,,,,,,,,,,,,,
,CVSS2#AV:L/AC:L/Au:S/C:N/I:N/A:N,Privileged Insider,L,0.395,L,0.71,S,0.56,N,0,N,0,N,0,21.671284368555455,,This vulnerability can be exploited 21.7% of the time and it causes a loss of .
,CVSS2#AV:A/AC:M/Au:S/C:P/I:P/A:C,Privileged Insider,A,0.646,M,0.61,S,0.56,P,0.275,P,0.275,C,0.66,36.209127625663385,"Confidentiality,Integrity,Availability","This vulnerability can be exploited 36.2% of the time and it causes a loss of Confidentiality,Integrity,Availability."
192.168.1.15,,,,,,,,,,,,,,,,,
,CVSS2#AV:L/AC:L/Au:M/C:N/I:N/A:N,Privileged Insider,L,0.395,L,0.71,M,0.45,N,0,N,0,N,0,14.622024438592181,,This vulnerability can be exploited 14.6% of the time and it causes a loss of .
,CVSS2#AV:A/AC:M/Au:M/C:N/I:C/A:N,Privileged Insider,A,0.646,M,0.61,M,0.45,N,0,C,0.66,N,0,26.30421991305391,Integrity,This vulnerability can be exploited 26.3% of the time and it causes a loss of Integrity.
192.168.1.16,,,,,,,,,,,,,,,,,
,CVSS2#AV:A/AC:L/Au:S/C:P/I:C/A:P,Privileged Insider,A,0.646,L,0.71,S,0.56,P,0.275,C,0.66,P,0.275,44.4755185631616,"Confidentiality,Integrity,Availability","This vulnerability can be exploited 44.5% of the time and it causes a loss of Confidentiality,Integrity,Availability."
,CVSS2#AV:A/AC:M/Au:S/C:N/I:P/A:P,Privileged Insider,A,0.646,M,0.61,S,0.56,N,0,P,0.275,P,0.275,36.209127625663385,"Integrity,Availability","This vulnerability can be exploited 36.2% of the time and it causes a loss of Integrity,Availability."
192.168.1.17,,,,,,,,,,,,,,,,,
,CVSS2#AV:N/AC:H/Au:N/C:P/I:C/A:P,Outsider,N,1,H,0.35,N,0.704,P,0.275,C,0.66,P,0.275,42.08773443167991,"Confidentiality,Integrity,Availability","This vulnerability can be exploited 42.1% of the time and it causes a loss of Confidentiality,Integrity,Availability."
,CVSS2#AV:L/AC:L/Au:N/C:C/I:N/A:N,Insider,L,0.395,L,0.71,N,0.704,C,0.66,N,0,N,0,30.899406458689185,Confidentiality,This vulnerability can be exploited 30.9% of the time and it causes a loss of Confidentiality.
192.168.1.18,,,,,,,,,,,,,,,,,
,CVSS2#AV:A/AC:L/Au:S/C:N/I:P/A:P,Privileged Insider,A,0.646,L,0.71,S,0.56,N,0,P,0.275,P,0.275,44.4755185631616,"Integrity,Availability","This vulnerability can be exploited 44.5% of the time and it causes a loss of Integrity,Availability."
,CVSS2#AV:A/AC:L/Au:M/C:N/I:N/A:P,Privileged Insider,A,0.646,L,0.71,M,0.45,N,0,N,0,P,0.275,32.94685548782926,Availability,This vulnerability can be exploited 32.9% of the time and it causes a loss of Availability.
192.168.1.19,,,,,,,,,,,,,,,,,
,CVSS2#AV:N/AC:M/Au:S/C:P/I:P/A:N,Outsider,N,1,M,0.61,S,0.56,P,0.275,P,0.275,N,0,63.84139479351732,"Confidentiality,Integrity","This vulnerability can be exploited 63.8% of the time and it causes a loss of Confidentiality,Integrity."
,CVSS2#AV:N/AC:M/Au:M/C:C/I:C/A:P,Outsider,N,1,M,0.61,M,0.45,C,0.66,C,0.66,P,0.275,48.50872031579369,"Confidentiality,Integrity,Availability","This vulnerability can be exploited 48.5% of the time and it causes a loss of Confidentiality,Integrity,Availability."
192.168.1.20,,,,,,,,,,,,,,,,,
,CVSS2#AV:A/AC:M/Au:S/C:P/I:P/A:C,Privileged Insider,A,0.646,M,0.61,S,0.56,P,0.275,P,0.275,C,0.66,36.209127625663385,"Confidentiality,Integrity,Availability","This vulnerability can be exploited 36.2% of the time and it causes a loss of Confidentiality,Integrity,Availability."
,CVSS2#AV:A/AC:M/Au:S/C:C/I:C/A:N,Privileged Insider,A,0.646,M,0.61,S,0.56,C,0.66,C,0.66,N,0,36.209127625663385,"Confidentiality,Integrity","This vulnerability can be exploited 36.2% of the time and it causes a loss of Confidentiality,Integrity."
192.168.1.21,,,,,,,,,,,,,,,,,
,CVSS2#AV:A/AC:M/Au:M/C:N/I:P/A:P,Privileged Insider,A,0.646,M,0.61,M,0.45,N,0,P,0.275,P,0.275,26.30421991305391,"Integrity,Availability","This vulnerability can be exploited 26.3% of the time and it causes a loss of Integrity,Availability."
,CVSS2#AV:L/AC:H/Au:M/C:N/I:P/A:C,Privileged Insider,L,0.395,H,0.35,M,0.45,N,0,P,0.275,C,0.66,0.0,"Integrity,Availability","This vulnerability can be exploited 0.0% of the time and it causes a loss of Integrity,Availability."
192.168.1.22,,,,,,,,,,,,,,,,,
,CVSS2#AV:A/AC:H/Au:N/C:N/I:P/A:N,Nearsider,A,0.646,H,0.35,N,0.704,N,0,P,0.275,N,0,22.156263031916406,Integrity,This vulnerability can be exploited 22.2% of the time and it causes a loss of Integrity.
,CVSS2#AV:N/AC:H/Au:M/C:C/I:N/A:C,Outsider,N,1,H,0.35,M,0.45,C,0.66,N,0,C,0.66,21.773654534964095,"Confidentiality,Availability","This vulnerability can be exploited 21.8% of the time and it causes a loss of Confidentiality,Availability."
192.168.1.23,,,,,,,,,,,,,,,,,
,CVSS2#AV:N/AC:L/Au:M/C:N/I:C/A:P,Outsider,N,1,L,0.71,M,0.45,N,0,C,0.66,P,0.275,58.791437923805056,"Integrity,Availability","This vulnerability can be exploited 58.8% of the time and it causes a loss of Integrity,Availability."
,CVSS2#AV:A/AC:L/Au:M/C:P/I:P/A:N,Privileged Insider,A,0.646,L,0.71,M,0.45,P,0.275,P,0.275,N,0,32.94685548782926,"Confidentiality,Integrity","This vulnerability can be exploited 32.9% of the time and it causes a loss of Confidentiality,Integrity."
192.168.1.24,,,,,,,,,,,,,,,,,
,CVSS2#AV:A/AC:L/Au:S/C:C/I:P/A:N,Privileged Insider,A,0.646,L,0.71,S,0.56,C,0.66,P,0.275,N,0,44.4755185631616,"Confidentiality,Integrity","This vulnerability can be exploited 44.5% of the time and it causes a loss of Confidentiality,Integrity."
,CVSS2#AV:A/AC:H/Au:M/C:N/I:C/A:N,Privileged Insider,A,0.646,H,0.35,M,0.45,N,0,C,0.66,N,0,9.033367418637996,Integrity,This vulnerability can be exploited 9.0% of the time and it causes a loss of Integrity.
192.168.1.25,,,,,,,,,,,,,,,,,
,CVSS2#AV:A/AC:L/Au:S/C:P/I:P/A:P,Privileged Insider,A,0.646,L,0.71,S,0.56,P,0.275,P,0.275,P,0.275,44.4755185631616,"Confidentiality,Integrity,Availability","This vulnerability can be exploited 44.5% of the time and it causes a loss of Confidentiality,Integrity,Availability."
,CVSS2#AV:N/AC:H/Au:N/C:P/I:N/A:P,Outsider,N,1,H,0.35,N,0.704,P,0.275,N,0,P,0.275,42.08773443167991,"Confidentiality,Availability","This vulnerability can be exploited 42.1% of the time and it causes a loss of Confidentiality,Availability."
192.168.1.26,,,,,,,,,,,,,,,,,
,CVSS2#AV:L/AC:H/Au:M/C:C/I:N/A:N,Privileged Insider,L,0.395,H,0.35,M,0.45,C,0.66,N,0,N,0,0.0,Confidentiality,This vulnerability can be exploited 0.0% of the time and it causes a loss of Confidentiality.
,CVSS2#AV:N/AC:H/Au:N/C:P/I:P/A:P,Outsider,N,1,H,0.35,N,0.704,P,0.275,P,0.275,P,0.275,42.08773443167991,"Confidentiality,Integrity,Availability","This vulnerability can be exploited 42.1% of the time and it causes a loss of Confidentiality,Integrity,Availability."
192.168.1.27,,,,,,,,,,,,,,,,,
,CVSS2#AV:L/AC:H/Au:M/C:P/I:P/A:C,Privileged Insider,L,0.395,H,0.35,M,0.45,P,0.275,P,0.275,C,0.66,0.0,"Confidentiality,Integrity,Availability","This vulnerability can be exploited 0.0% of the time and it causes a loss of Confidentiality,Integrity,Availability."
,CVSS2#AV:A/AC:L/Au:M/C:N/I:P/A:C,Privileged Insider,A,0.646,L,0.71,M,0.45,N,0,P,0.275,C,0.66,32.94685548782926,"Integrity,Availability","This vulnerability can be exploited 32.9% of the time and it causes a loss of Integrity,Availability."
192.168.1.28,,,,,,,,,,,,,,,,,
,CVSS2#AV:L/AC:M/Au:N/C:N/I:P/A:C,Insider,L,0.395,M,0.61,N,0.704,N,0,P,0.275,C,0.66,24.545143986609613,"Integrity,Availability","This vulnerability can be exploited 24.5% of the time and it causes a loss of Integrity,Availability."
,CVSS2#AV:N/AC:H/Au:S/C:N/I:P/A:C,Outsider,N,1,H,0.35,S,0.56,N,0,P,0.275,C,0.66,30.57109071070717,"Integrity,Availability","This vulnerability can be exploited 30.6% of the time and it causes a loss of Integrity,Availability."
192.168.1.29,,,,,,,,,,,,,,,,,
,CVSS2#AV:A/AC:L/Au:S/C:C/I:P/A:P,Privileged Insider,A,0.646,L,0.71,S,0.56,C,0.66,P,0.275,P,0.275,44.4755185631616,"Confidentiality,Integrity,Availability","This vulnerability can be exploited 44.5% of the time and it causes a loss of Confidentiality,Integrity,Availability."
,CVSS2#AV:N/AC:H/Au:S/C:P/I:N/A:N,Outsider,N,1,H,0.35,S,0.56,P,0.275,N,0,N,0,30.57109071070717,Confidentiality,This vulnerability can be exploited 30.6% of the time and it causes a loss of Confidentiality.
192.168.1.30,,,,,,,,,,,,,,,,,
,CVSS2#AV:L/AC:M/Au:M/C:P/I:P/A:P,Privileged Insider,L,0.395,M,0.61,M,0.45,P,0.275,P,0.275,P,0.275,10.56035098342769,"Confidentiality,Integrity,Availability","This vulnerability can be exploited 10.6% of the time and it causes a loss of Confidentiality,Integrity,Availability."
,CVSS2#AV:A/AC:L/Au:S/C:P/I:C/A:P,Privileged Insider,A,0.646,L,0.71,S,0.56,P,0.275,C,0.66,P,0.275,44.4755185631616,"Confidentiality,Integrity,Availability","This vulnerability can be exploited 44.5% of the time and it causes a loss of Confidentiality,Integrity,Availability."
192.168.1.31,,,,,,,,,,,,,,,,,
,CVSS2#AV:A/AC:M/Au:N/C:N/I:N/A:N,Nearsider,A,0.646,M,0.61,N,0.704,N,0,N,0,N,0,49.175552267624866,,This vulnerability can be exploited 49.2% of the time and it causes a loss of .
,CVSS2#AV:L/AC:H/Au:M/C:N/I:N/A:N,Privileged Insider,L,0.395,H,0.35,M,0.45,N,0,N,0,N,0,0.0,,This vulnerability can be exploited 0.0% of the time and it causes a loss of .
192.168.1.32,,,,,,,,,,,,,,,,,
,CVSS2#AV:A/AC:M/Au:S/C:N/I:N/A:N,Privileged Insider,A,0.646,M,0.61,S,0.56,N,0,N,0,N,0,36.209127625663385,,This vulnerability can be exploited 36.2% of the time and it causes a loss of .
,CVSS2#AV:A/AC:M/Au:M/C:C/I:P/A:P,Privileged Insider,A,0.646,M,0.61,M,0.45,C,0.66,P,0.275,P,0.275,26.30421991305391,"Confidentiality,Integrity,Availability","This vulnerability can be exploited 26.3% of the time and it causes a loss of Confidentiality,Integrity,Availability."
192.168.1.33,,,,,,,,,,,,,,,,,
,CVSS2#AV:L/AC:H/Au:N/C:N/I:P/A:P,Insider,L,0.395,H,0.35,N,0.704,N,0,P,0.275,P,0.275,8.024061559202746,"Integrity,Availability","This vulnerability can be exploited 8.0% of the time and it causes a loss of Integrity,Availability."
,CVSS2#AV:N/AC:H/Au:N/C:C/I:N/A:N,Outsider,N,1,H,0.35,N,0.704,C,0.66,N,0,N,0,42.08773443167991,Confidentiality,This vulnerability can be exploited 42.1% of the time and it causes a loss of Confidentiality.
192.168.1.34,,,,,,,,,,,,,,,,,
,CVSS2#AV:N/AC:H/Au:M/C:N/I:P/A:P,Outsider,N,1,H,0.35,M,0.45,N,0,P,0.275,P,0.275,21.773654534964095,"Integrity,Availability","This vulnerability can be exploited 21.8% of the time and it causes a loss of Integrity,Availability."
,CVSS2#AV:N/AC:H/Au:N/C:N/I:P/A:N,Outsider,N,1,H,0.35,N,0.704,N,0,P,0.275,N,0,42.08773443167991,Integrity,This vulnerability can be exploited 42.1% of the time and it causes a loss of Integrity.
192.168.1.35,,,,,,,,,,,,,,,,,
,CVSS2#AV:N/AC:M/Au:M/C:P/I:N/A:P,Outsider,N,1,M,0.61,M,0.45,P,0.275,N,0,P,0.275,48.50872031579369,"Confidentiality,Availability","This vulnerability can be exploited 48.5% of the time and it causes a loss of Confidentiality,Availability."
,CVSS2#AV:L/AC:M/Au:N/C:C/I:N/A:P,Insider,L,0.395,M,0.61,N,0.704,C,0.66,N,0,P,0.275,24.545143986609613,"Confidentiality,Availability","This vulnerability can be exploited 24.5% of the time and it causes a loss of Confidentiality,Availability."
192.168.1.36,,,,,,,,,,,,,,,,,
,CVSS2#AV:A/AC:M/Au:S/C:P/I:N/A:C,Privileged Insider,A,0.646,M,0.61,S,0.56,P,0.275,N,0,C,0.66,36.209127625663385,"Confidentiality,Availability","This vulnerability can be exploited 36.2% of the time and it causes a loss of Confidentiality,Availability."
,CVSS2#AV:L/AC:H/Au:N/C:N/I:P/A:P,Insider,L,0.395,H,0.35,N,0.704,N,0,P,0.275,P,0.275,8.024061559202746,"Integrity,Availability","This vulnerability can be exploited 8.0% of the time and it causes a loss of Integrity,Availability."
192.168.1.37,,,,,,,,,,,,,,,,,
,CVSS2#AV:A/AC:H/Au:M/C:N/I:N/A:N,Privileged Insider,A,0.646,H,0.35,M,0.45,N,0,N,0,N,0,9.033367418637996,,This vulnerability can be exploited 9.0% of the time and it causes a loss of .
,CVSS2#AV:L/AC:H/Au:S/C:N/I:C/A:P,Privileged Insider,L,0.395,H,0.35,S,0.56,N,0,C,0.66,P,0.275,3.474987289418514,"Integrity,Availability","This vulnerability can be exploited 3.5% of the time and it causes a loss of Integrity,Availability."
192.168.1.38,,,,,,,,,,,,,,,,,
,CVSS2#AV:A/AC:M/Au:M/C:P/I:P/A:C,Privileged Insider,A,0.646,M,0.61,M,0.45,P,0.275,P,0.275,C,0.66,26.30421991305391,"Confidentiality,Integrity,Availability","This vulnerability can be exploited 26.3% of the time and it causes a loss of Confidentiality,Integrity,Availability."
,CVSS2#AV:A/AC:L/Au:M/C:P/I:P/A:P,Privileged Insider,A,0.646,L,0.71,M,0.45,P,0.275,P,0.275,P,0.275,32.94685548782926,"Confidentiality,Integrity,Availability","This vulnerability can be exploited 32.9% of the time and it causes a loss of Confidentiality,Integrity,Availability."
192.168.1.39,,,,,,,,,,,,,,,,,
,CVSS2#AV:N/AC:H/Au:N/C:P/I:N/A:P,Outsider,N,1,H,0.35,N,0.704,P,0.275,N,0,P,0.275,42.08773443167991,"Confidentiality,Availability","This vulnerability can be exploited 42.1% of the time and it causes a loss of Confidentiality,Availability."
,CVSS2#AV:N/AC:H/Au:N/C:C/I:N/A:C,Outsider,N,1,H,0.35,N,0.704,C,0.66,N,0,C,0.66,42.08773443167991,"Confidentiality,Availability","This vulnerability can be exploited 42.1% of the time and it causes a loss of Confidentiality,Availability."
192.168.1.40,,,,,,,,,,,,,,,,,
,CVSS2#AV:L/AC:M/Au:N/C:N/I:P/A:C,Insider,L,0.395,M,0.61,N,0.704,N,0,P,0.275,C,0.66,24.545143986609613,"Integrity,Availability","This vulnerability can be exploited 24.5% of the time and it causes a loss of Integrity,Availability."
,CVSS2#AV:A/AC:L/Au:S/C:C/I:C/A:P,Privileged Insider,A,0.646,L,0.71,S,0.56,C,0.66,C,0.66,P,0.275,44.4755185631616,"Confidentiality,Integrity,Availability","This vulnerability can be exploited 44.5% of the time and it causes a loss of Confidentiality,Integrity,Availability."
""
This probability of at least 1 exploit assuming 100% attacker capability is 100.0%.
